index,question,answer,subject
17,מהי בדיקת PET-CT?,"זו בדיקה מתקדמת שמשלבת בתוכה בדיקת CT ובדיקת PET. היא משמשת בעיקר למעקב אחר גידולים סרטניים, אך יש לה גם שימושים נוספים.בדיקת CT (טומוגרפיה ממוחשבת) מבוססת על שימוש בקרני רנטגן שנפלטות מכמה מקורות בעת ובעונה אחת ועוברות דרך רקמות הגוף השונות. כל רקמה בגוף בולעת קרינה ומחזירה קרינה באופן שונה.חיישנים שממוקמים מסביב לגופו של הנבדק קולטים את הקרינה שמגיעה אליהם ומעבדים אותה - באמצעות תוכנת מחשב - לתמונות מפורטות ומדויקות של האיברים השונים.PET היא בדיקת מיפוי: הנבדק מקבל חומר רדיואקטיבי (בדרך כלל סוכר רדיואקטיבי שנקרא FDG) שנקשר במיוחד לרקמות שבהן קצב חילוף החומרים הוא מהיר יותר כמו גידולים ממאירים, אך גם אזורים שבהם יש זיהום או דלקת.קבלת תמונה על אופן הפיזור של החומר הרדיואקטיבי בגוף יכולה אפוא ללמד על מידת התפשטותם ",PET-CT (פט סיטי): מדריך הכנה לבדיקה
18,איך מסייע השילוב בין שתי הבדיקות?,"עשיית שתי הבדיקות בו זמנית מאפשרת לאפיין באופן מדויק יותר את האזורים שבהם קיימת קליטה מוגברת של FDG. לרוב מדובר בבדיקה של כל הגוף.התמונות שמתקבלות לאחר הבדיקה מוצגות בחתכים (פרוסות), והרופא יכול לעיין בכל פרוסה בנפרד או לבנות תמונות תלת־ממדיות בעזרת המחשב. הודות לטכנולוגיה ממוחשבת מתקדמת ניתן לצפות בתמונות של כל בדיקה בנפרד או ",PET-CT (פט סיטי): מדריך הכנה לבדיקה
19,מתי יש צורך בבדיקת PET-CT?,"בדיקת PET-CT משמשת בעיקר כדי לעקוב אחר גידולים סרטניים, אף שניתן להיעזר בה גם במצבים רפואיים נוספים.הרופא יחליט אם להפנות אותך לבדיקה על פי התסמינים שלך ובהתאם להיסטוריה הרפואית שלך. הרופא עשוי להפנות לבדיקת PET-CT, בין היתר, למטרות הבאות:• כדי לקבוע את מידת הפיזור של הגידול בגופו של הנבדק.• כדי להעריך אם הגידול הגיב לטיפול שקיבל המטופל.• כאשר רוצים לברר את טיב הממצא שנראה בבדיקות הדמיה אחרות, למשל להבדיל בין רקמת צלקת לשארית של גידול לאחר ניתוח.• כדי לבדוק אפשרות שהמחלה חזרה ל",PET-CT (פט סיטי): מדריך הכנה לבדיקה
20,האם יש צורך בהכנה מוקדמת?,"לפני הבדיקה מקבל הנבדק הוראות מפורטות מהמכון שבו תיעשה הבדיקה.לרוב מופיעות ההנחיות הבאות:• הבדיקה נעשית לאחר צום של כ־6 שעות. במהלך הצום יש לשתות מים בלבד. אסור לשתות שתייה מתוקה.• יש להימנע מפעילות גופנית מאומצת (כמו ריצה, אימון כושר וכו') כ־48 שעות לפני הבדיקה.• בכל צילום יש לחשוף את האיבר המצולם, ולכן ייתכן שתתבקשו להסיר בגדים, תכשיטים וחפצי מתכת שעלולים להפריע לצילום ולפענוח הבדיקה.• רמת סוכר גבוהה בדם עלולה להפריע לבדיקה, ולכן מומלץ לעשות אותה כשרמת הגלוקוז בדם היא מתח",PET-CT (פט סיטי): מדריך הכנה לבדיקה
21,מה קורה בבדיקת PET-CT?,"הבדיקה מתחילה בזריקה של FDG לווריד.לאחר ההזרקה על הנבדק להמתין כ־60 דקות - שבמהלכן מתפזר החומר הרדיואקטיבי בגוף. במשך 60 הדקות האלה אסור לנבדק לדבר, לנוע או ללעוס מסטיק.לעיתים רחוקות מקבל הנבדק נוסף על חומר הרדיואקטיבי גם חומר ניגוד בשתייה כדי לשפר את תמונת המעיים.לאחר ההמתנה מתבקש הנבדק לשכב על מיטת הבדיקה ללא תזוזה. מיטת הבדיקה מחליקה אל תוך המכשיר דמוי הבייגלה ועוברת דרך תעלה קצרה.אין מדובר במכשיר סגור כמו ה־MRI, ולכן לרוב אין בעיי",PET-CT (פט סיטי): מדריך הכנה לבדיקה
22,האם יש לבדיקת PET-CT תופעות לוואי או סיכונים?,הבדיקה כרוכה בחשיפה לשני סוגים של קרינה: קרינה רדיואקטיבית בכמות זעירה וקרני רנטגן. חשיפה לקרני רנטגן בבדיקות חוזרות עלולה להעלות את הסיכון לחלות בעתיד בגידולים (לאחר ,PET-CT (פט סיטי): מדריך הכנה לבדיקה
23,מהי ביופסיה של הערמונית?,"ביופסיה של הערמונית היא בדיקה שבה נוטלים דגימה של רקמה חשודה מבלוטת הערמונית (פרוסטטה) כדי לברר אם מדובר בגידול סרטני. לרוב נעשית הבדיקה דרך פי הטבעת בהנחיית אולטרסאונד.הערמונית היא בלוטה שקיימת אצל גברים בלבד. היא ממוקמת בסמוך לפי הטבעת, ותפקידה הוא להפריש חלק מנוזל הזרע.ברוב המקרים נעשית הבדיקה בהרדמה מקומית, ורק לעיתים רחוקות יש צורך לעשות אותה בהרדמה כללית. בזמן הבדיקה משתמש הרופא במכשיר אולטרסאונד כדי לבחון את הבלוטה ואת האזור שממנו הוא",ביופסיה של הערמונית
24,מתי צריך לעשות ביופסיה של הערמונית?,"הבדיקה נעשית במקרים שבהם קיים חשש לגידול ממאיר בבלוטה (סרטן הערמונית).החשד שמדובר בסרטן הערמונית עולה כאשר הרופא חש בגוש בעת שהוא ממשש את הבלוטה (דרך פי הטבעת) או כאשר ישנה עלייה ברמת ה־PSA בדם. ה־PSA הוא חלבון שמפרישה הערמונית, ורמה מוגברת שלו יכולה להצביע על מחלות שונות בבלוטה כמו דלקת, הגדלה ",ביופסיה של הערמונית
25,"כל אחד יכול להעלות לרשת מידע שייראה רפואי ומקצועי, אבל איך אפשר לדעת על מה לסמוך בלי לטבוע בים של נתונים מגורמים שונים?","חוכמת ההמונים לא תמיד פועלת לטובתנו. במהלך החיפוש אחרי תשובות על האבחון שלנו אנחנו יכולים להיתקל במידע שפרסמו גורמים לא מוסמכים, במידע סותר, אבחנות שגויות ומבהילות לתסמינים דומים או תמונות וסרטונים קשים לצפייה שהעלו לרשת.כל אלה יכולים לגרום לבלבול, חרדה מיותרת, טיפול עצמי מסוכן או לא יעיל ואפילו הימנעות מביקור פשוט אך חיוני אצל הרופא כדי להיבדק ולברר מה הבעיה. כדי לעזור בחיפוש מידע יעיל וזהיר, אנחנו בכללית, ארגון הבריאות המוביל בישראל, שמחים להגיש לך את חמשת כללי הזהב ל",חיפוש בריא: 5 כללי הזהב לחיפוש מידע רפואי ברשת
26,מי עומד מאחורי התוכן שמצאתם ומה מקורות המידע שלו? האם אתם סומכים עליו ב־100%?,"מי פרסם את המידע? זו שאלת המפתח שעליכם לשאול כשאתם קוראים מידע ברשת. עשרות אלפי ארגוני בריאות מוכרים, מגזינים מדעיים ופופולריים, מכוני מחקר, רופאים, אנשי צוות וגם מרפאים אלטרנטיביים ואנשים פרטיים שאין להם כל הסמכה רפואית - מעלים מדי יום מידע בעל אופי רפואי לרשת.לחלקם יש אינטרס סמוי בפרסום בעל אופי מסוים שלא תמיד יהיה גלוי לקורא. כדאי לזכור שגם אם מחקר מסוים התפרסם בכלי תקשורת לגיטימי, זה עדיין לא אומר שהפרסום מדויק או שאין מאחוריו אינטרס.מומלץ לברר עד כמה שאפשר מי עומד מאחורי התוכן שנמצא באתר, כולל שמות החוקרים, הרופאים וארגוני הבריאות או המחקר שמוזכרים בו, ולערוך חיפוש ממוקד אודותיהם כדי לוודא שהם אכן קיימים ומוסמכים לפרסם מידע מסוג זה.ודאו שהמחקר שמצאתם ברשת עדכני ולא מיושןמתי פורסם המידע הרפואי שמצאתם? מחקרים עדכניים מתפרסמים מדי יום בכל נושא שניתן לעלות על הדעת, ואיתם גם תובנות רפואיות, תרופות ודרכי טיפול.אם המידע שבידכם בן יותר מכמה חודשים, רצוי לוודא שהוא אכן המידע העדכני ביותר בתחום, כמובן אחרי שבדקתם שהוא פורסם על ידי מקור מוסמך.חפשו תו תקן באתרים שבהם אתם מחפשים את המידע, או שיוך לגוף רפואי מוכר ואמיןגם אם המידע שמצאתם מופיע בוויקיפדיה, כשמדובר בחיפוש מידע רפואי, זה לא מספיק. ויקיפדיה היא כלי נהדר, אבל כל אחד יכול להיכנס ולשנות את הערכים שבה, כולל טעויות שייקח זמן יקר עד שיתוקנו.חשוב וכדאי לוודא שהאתר שבו אתם גולשים שייך לגוף רפואי מוכר ואמין. גם כאן, רצוי לערוך חיפוש נוסף וממוקד על גורמי מקצוע שמוזכרים במידע ולוודא את אמינותם.חפשו את המידע בכמה מקומות ושימו לב שאין סתירותבכמה מקורות מופיע המידע שמצאתם? מקור אחד ואפילו שניים עשויים לא להספיק כדי לגבש תמונה שלמה על הבעיה שממנה אתם סובלים, או אפילו להלחיץ ולהטעות אתכם.ומה עושים כשמוצאים שני מקורות מידע שנראים אמינים, אבל המידע שבהם סותר? כדאי לחפש מקורות מידע מוסמכים נוספים ועדכניים ככל שניתן.וגם אם לא נמצאו סתירות, זה עדיין לא אומר שהמידע מתאים למקרה הספציפי שלכם. ממש כמו שמבקשים חוות דעת שנייה מרופא, כדאי להצליב את מה שמצאתם ע",חיפוש בריא: 5 כללי הזהב לחיפוש מידע רפואי ברשת
27,"מצד שני, אין צורך להציף את עצמכם ביותר מדי מקורות, כי גם עודף מידע וסתירות עלולים לבלבל ולגרום לחרדה וסבל מיותרים. לא חבל?","על כל מידע שמצאתם, גם אם הוא נראה אמין ומקצועי - חשוב להתייעץ עם רופאקראתם באתר ארגון בריאות בינלאומי מוסמך מידע שמתאים בדיוק לאבחנה שלכם? הצלבתם מקורות? גם אם הסתמכתם על מידע אמין ומקצועי, אל תוותרו בשום אופן על התייעצות עם רופא.תפקידו של הרופא הוא לערוך בירור יסודי של הבעיה על בסיס בדיקות פיזיות, בדיקות דימות מתקדמות והתייעצות עם מומחים נוספים במקרה הצורך - עד מתן הטיפול המיטבי לחולה.לא פחות חשוב מכך הוא תפקידו של הרופא בתיווך המידע המקצועי למטופל, כלומר, לכם. הוא זה שייתן לכם הדרכה פרטנית לגבי הליך הטיפול ומתן הסבר מלא לכל השאלות שעולות.גם אם חיפוש המידע נעשה לאחר אבחנת הרופא, מותר ורצוי לחזור ולשאול דברים שאינם מובנים, או אם מתעוררות שאלות נוספות. ועוד המלצה חשובה מאוד: אל תימנעו מהתייעצות ראשונית או נוספת עם רופא או רופאה על סמך חיפוש עצמי ברשת. תנו לשני מקורות המידע - הרופא והרשת - לעזור לכם.* המידע המופיע במדריך הוא לידיעה כללית בלבד. יש לעיין בתנאי הש",חיפוש בריא: 5 כללי הזהב לחיפוש מידע רפואי ברשת
28,מהי בדיקת CT של עמוד השדרה?,"CT של עמוד השדרה היא בדיקת הדמיה לא פולשנית המבוססת על צילומי רנטגן ומייצרת תמונות מפורטות ומדויקות של עמוד השדרה מזוויות שונות.הצילומים האלה עוברים עיבוד בסורק ממוחשב שיוצר תמונות של חוליות עמוד השדרה, של מרווחי הדיסקים, של תעלת חוט השדרה, של השרירים ושל כלי הדם.התמונות מוצגות בחתכים (פרוסות), והרופא יכול לעיין בכל פרוסה בנפרד או בהדמיה תלת־ממדית. המידע שמתקבל מבדיקת CT של עמוד השדרה מפורט הרבה יותר מהמידע שמתקבל מצ",CT עמוד שדרה
29,מהו הפירוש של CT?,CT הם ראשי התיבות של Computerized Tomography.- באנגלית: טו,CT עמוד שדרה
30,מתי צריך לעשות בדיקת CT של עמוד השדרה?,"הרופא עשוי להפנות אותך לבדיקות CT של עמוד השדרה במצבים הבאים:• כדי לבחון חשד לשבר בחוליות במקרה של חבלה בעמוד השדרה.• כדי לברר חשד שהמקור לכאבי גב הוא זיהום או גידול או פריצת דיסק שגרמה לפגיעה בעצבים.• כדי לאבחן גידולים בעמוד השדרה. מקור הגידולים עלול להיות בעמוד השדרה (או בקרבתו), והוא עלול להיות באיבר מרוחק ששלח גרורות.• כדי לאבחן פריצת דיסק ומחלות של הדיסקים הבין־חולייתיים.• כדי לעמוד על מצבו של עמוד השדרה לפני ניתוח ואחריו.• כדי לסייע בתכנון ובהכוונה של בדיקות אבחנתיות או טיפוליות, למשל, ניקוז מורסה או נטילת ביופסיה מרקמה בעמוד השדרה שעל פי החשד היא סרטנית.• כדי לעקוב אחר אנשים שסובלים מבעיות שונות בעמוד השדרה כמו: היצרות התעלה, שברים בחוליות, זיהום,",CT עמוד שדרה
31,האם יש לבדיקה תופעות לוואי או סיכונים?,"גלי אולטרסאונד אינם גורמים נזק לרקמות העיניים או לכל רקמה אחרת בגוף. הבדיקה אינה כרוכה בסיכון או בתופעות לוואי, וזאת בשונה מצילומי רנטגן ומבדיקות CT שבהן נעשה שימוש בקר",אולטרסאונד עיניים
32,מהי בדיקת MRI?,"בדיקת MRI (אם אר איי, ראשי תיבות של Magnetic Resonance Imaging) היא סריקה לא פולשנית של האיברים הפנימיים באמצעות תהודה מגנטית. בבדיקה נעשה שימוש בשדה מגנטי חזק ובגלי רדיו ומתקבלות תמונות ברורות (ואפילו תלת־ממדיות) של האיברים הנבדקים ושל כלי הדם.מהמידע המתקבל בסריקה ניתן ליצור עיבודים שונים של הנתונים ואף ""לפרוס"" את האיברים שנסקרו פרוסות־פרוסות - מה שמאפשר לרופאים לראות בחדות רבה את התמונה הכוללת ולהתמקד בפרטים",בדיקת MRI (אם אר איי): מדריך הכנה לבדיקה
33,מהי משמעות השם MRI?,MRI הוא ראשי התיבות של Magnetic Resonance Imaging (באנגלית: הדמיה,MRI עמוד שדרה
34,מתי יש צורך בבדיקת MRI של עמוד השדרה?,"השימוש הנפוץ ביותר הוא במקרים של כאבי גב ושל כאבי צוואר. עם זאת יש לציין כי לא כל הנבדקים שסובלים מכאבים בגב או בצוואר זקוקים לבירור מיידי ב־MRI היות שאצל מרביתם יחלפו הכאבים ללא כל התערבות נוספת.אם בכל זאת מחליטים להפנות את הנבדק לבירור, ניתן לרוב להסתפק בבדיקות פשוטות יותר כמו CT, מיפוי עצמות או צילומי רנטגן רגילים כדי להגיע לאבחנה.בדיקת MRI נעשית בדרך כלל כאשר חושדים שהסיבה לכאבים היא גידול או זיהום בעמוד השדרה או אם הנבדק סובל מכאבים קשים שלא נמצאה להם סיבה בבדיקות האחרות.• כאשר חושדים בקיומו של מום מולד בחוט השדרה.• במסגרת בירור של מחלות נוירולוגיות שונות.• כדי לתכנן ניתוחים או להעריך את תוצאותיהם.• כאשר חושדים שקיים אוטם באחד העורקים שמזינים את עמוד השדרה (מצב שנקרא ""אוטם חוט השדרה"").• כדי לתכנן פעולות פולשניות לשיכוך כא",MRI עמוד שדרה
35,זה כואב?,טיקים מוטוריים ל,טיקים ותסמונת טורט
36,איך ארגיש במהלך הבדיקה?,"הבדיקה נעשית בתוך חלל סגור. ישנם אנשים שחשים חרדה או פחד עקב כך.בזמן הצילומים תיתכן תחושת חמימות באיבר הנבדק. התחושה הזאת תחלוף מיד עם סיום הצילומים. אם ניתן חומר ניגוד, עלולים לחוש כאבים בשל ההכנסה וההוצאה של המחט למתן חומר הניגוד. בזמן ההזלפה של חומר הניגוד לווריד ייתכן שיורגשו קרירות או חום וכן בחילה קלה. התחושות האלה תקינות וחולפות מעצמן ב",בדיקת MRI (אם אר איי): מדריך הכנה לבדיקה
37,מהי משמעות של תוצאות הבדיקה?,"הפענוח כולל לרוב תיאור מפורט של כל חוליה ושל כל דיסק בין־חולייתי. בסופו מופיע סיכום קצר של כל הממצאים יחד.כאשר מדובר בבדיקות של עמוד השדרה, יכלול בדרך כלל הפענוח התייחסות לכל חוליה ולכל דיסק בין־חולייתי. נהוג למספר את החוליות בעזרת אותיות: C - עמוד שדרה צווארי, T (או D) - עמוד שדרה חזי, L - עמוד שדרה מותני ו־ S - עמוד שדרה סקראלי (של אזור עצם הזנב). לכל אות גם מוסיפים מספר: החוליות הקרובות יותר לראש מקבלות מספרים נמוכים יותר.הממצאים החריגים השכיחים בבדיקות MRI (וגם בבדיקות CT) של עמוד השדרה הם שינויים ניווניים, כולל בלט דיסק עם או ללא לחץ על השק הדורלי (המעטפת של חוט השדרה) או על השורשים (האזורים שמהם יוצאים העצבים מחוט השדרה).שינוי ניווני נוסף שיכול להתגלות בעמוד השדרה הוא היצרות של תעלת השדרה. הסבר קצר: בתוך תעלת השדרה עובר עמוד השדרה. היצרות התעלה מפעילה לחץ על חוט השדרה, שתוצאתו עלולה להיות דלקות, כאבים, ואף הפרעות נוירולוגיות שונות.נוסף על כך ייתכנו ממצאים המצביעים על מומים מולדים כמו בעיות בסגירה של הצינור העצבי.ממצאים אפשריים נוספים הם גידולים שפירים או ממאירים וכ",MRI עמוד שדרה
38,מתי יש צורך לבדוק את תפקודי הריאות?,"הרופא עשוי להפנות לבדיקת תפקודי ריאות במקרים הבאים:• קוצר נשימה.• שיעול ממושך.• לבירור סימנים שהתגלו בבדיקה גופנית ושמצביעים על מחלת ריאות - למשל צפצופים שנשמעים בעת האזנה לריאות.• לבירור מצבם של חולים במחלת ריאות כרונית. באמצעות הבדיקה עוקב הרופא אחר התקדמות המחלה ואחר יעילות הטיפול בה.• לבירור אם נגרם נזק לריאות כתוצאה מחשיפה ממושכת לחומרים מסוכנים, למ",בדיקת תפקודי ריאות (ספירומטריה)
39,איפה עושים בדיקת תפקודי ריאות (ספירומטריה)?,לפני זימון התור מקבלים הפניה מרופא המשפחה או ממומחה לריאות.• זימון תור לרופא/ת משפחה בלי סיסמה.• ביקור אצל רופאי ריאות: כל מה שחשוב לדעת• רוצה לפגוש רופא/ה? אפשר בטלפון וגם בווידיאואפשר לעשות את בדיקת תפקודי הריאות במרפאות ובמכונים או בבתי ,בדיקת תפקודי ריאות (ספירומטריה)
40,האם יש צורך בהכנה מוקדמת לבדיקה?,"​חשוב לדעת: ההנחיות לקראת הבדיקה עשויות להשתנות ממכון בדיקה למכון בדיקה. בעת זימון התור למקום שבו תיעשה הבדיקה יימסרו ההנחיות המדויקות.מכיוון שהבדיקה נעשית בתוך מכשיר גדול דמוי מנהרה, עלולה להיווצר תחושה לא נוחה הנובעת משהייה בחלל סגור. לכן חשוב ליידע את הרופא אם סובלים מחרדה ממקומות סגורים (קלאוסטרופוביה). במקרה כזה עשוי הרופא להציע תרופת הרגעה.מכיוון שהבדיקה כרוכה בחשיפה לשדה מגנטי רב עוצמה (מכשיר ה־MRI מכיל מגנטים רבי עוצמה), יש לעדכן את הרופא אם ההיסטוריה הרפואית האישית כוללת ניתוחים שבהם הושארו בגוף חלקי מתכת כמו סוגים מסוימים של מסתמי לב מלאכותיים, קוצבי לב, שתלים באוזן הפנימית וסוגים מסוימים של תומכנים (סטנטים) בעורקים.בגלל המגנטים רבי העוצמה שבמכשיר ה־MRI אסור להיכנס לחדר הבדיקה עם חפצי מתכת. חפצים אישיים כאלה יש להשאיר מחוץ לחדר הבדיקה.MRI עם חומר ניגודבמקרה שהומלץ על בדיקת MRI עם חומר ניגוד, יש ליידע את הרופא אם ישנה הפרעה בתפקוד הכליות. נוסף על כך יש לעשות בדיקות דם שכוללות בירור של תפקודי הכליות. הנחיות ספציפיות ניתנות בעת שנקבע התור.גדוליניום אינו מומלץ לנבדקים שסובלים מאי־ספי",MRI מוח (MRI ראש)
41,איך נעשית הבדיקה?,"את הבדיקה עושה רופא אורולוג בתנאים סטריליים, לרוב בעזרת אנשי צוות נוספים. המטופלים מחליפים את בגדיהם בבגד מיוחד, והאזור של איברי המין עובר ניקוי וחיטוי. הבדיקה נעשית בשכיבה על הגב, ברגליים מפושקות ומוגבהות.לאחר ההרדמה או הטשטוש מוחדר המכשיר - תחילה לשופכה ולאחר מכן לשלפוחית השתן. הפעולה נעשית תוך כדי הזרמה של מים או של מי מלח סטריליים כדי לאפשר ראות טובה יותר. ניתן לראות את פנים השלפוחית והשופכה דרך העינית של המכשיר או לחלופין על צג הטלוויזיה. הרופא סוקר את השלפוחית ואת השופכה ומחפש ממצאים לא תקינים כמו גידולים, מומים אנטומיים, היצרויות, אבנים או סימנים לדלקת.ציסטוסקופיה שנעשית באמצעות מכשיר קשיח מאפשרת לא רק לאבחן מצבים שונים אלא גם לעשות טיפולים כמו לקיחת ביופסיה, לכידה של קרישי דם ושל אבנים קטנות וצריבה ש",ציסטוסקופיה
42,זה כואב? איך מרגישים במהלך הבדיקה?,"הבדיקה אינה מכאיבה. מכיוון שהבדיקה דורשת נשיפה חזקה, תיתכן לאחריה תחושת קוצר נשימה או סחרחורת למשך זמן קצר. לעיתים ישימו מצבט על האף של הנבדק במהלך הבדיקה כדי לאטום את הנחיריים ולמנוע ב",בדיקת תפקודי ריאות (ספירומטריה)
43,איך מרגישים אחרי הבדיקה?,לרוב ניתן לחזור לפעילות רג,בדיקת תפקודי ריאות (ספירומטריה)
44,מותר לנהוג אחרי הבדיקה?,"כן. הבדיקה עשויה להיות מאמצת ולעיתים אף מתישה, אך לרוב האנשים אין בעיה לנהוג אחריה. אם לא חשים ""במלוא הכושר"" אחרי הבדיקה",בדיקת תפקודי ריאות (ספירומטריה)
